count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
2,21,21,[],38,7,8333000,8334000,"['21', '23', '14', '24', '13', '34']","[0, 2, 0, 0]","[2, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[-1.1115966386554625, 3.532693653173413, 2.2008611370673705, -4.621958151585321]"
2,32,32,"[['13', '21', '32']]",40,5,8445000,8799000,"['21', '32', '14', '24', '13', '34']","[0, 1, 1, 0]","[0, 1, 0, 1]","[0, 1, 0, 1, 0, 0]","[-1.1115966386554625, 3.4940259740259734, 2.2447534766118835, -4.6271828119823954]"
4,23,23,[],38,7,8940000,9301000,"['21', '23', '14', '24', '13', '34']","[0, 4, 0, 0]","[0, 0, 1, 3]","[0, 1, 0, 3, 0, 0]","[-1.111596638655462, 3.52269308156632, 2.2310713840565524, -4.642167826967411]"
78,31,31,[],38,13,9302000,10047000,"['21', '23', '14', '24', '31', '34']","[0, 38, 40, 0]","[37, 0, 2, 39]","[16, 2, 0, 20, 21, 19]","[-1.37924347457816, 3.77709830756595, 2.354084271892491, -4.7519391048802815]"
1,32,32,[],38,15,10049000,10049000,"['21', '32', '14', '24', '31', '34']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]","[-1.3792434745781603, 3.735632183908046, 2.3955503955503956, -4.7519391048802815]"
9,23,23,[],38,13,10050000,10091000,"['21', '23', '14', '24', '31', '34']","[0, 3, 6, 0]","[3, 0, 1, 5]","[1, 1, 0, 1, 2, 4]","[-1.3957086556707052, 3.7597802197802195, 2.3964326375711575, -4.760504201680672]"
2,43,43,"[['14', '31', '43']]",39,3,10096000,10097000,"['21', '23', '14', '24', '31', '43']","[0, 1, 0, 1]","[1, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[-1.4035313414594928, 3.767602905569007, 2.368523663762655, -4.732595227872171]"
10,34,34,[],38,13,10107000,10203000,"['21', '23', '14', '24', '31', '34']","[0, 5, 5, 0]","[6, 0, 0, 4]","[4, 0, 0, 1, 2, 3]","[-1.4416890828807802, 3.8007717974757, 2.3810526315789473, -4.740135346173868]"
3,41,41,[],38,19,10204000,10208000,"['21', '23', '41', '24', '31', '34']","[0, 0, 2, 1]","[1, 0, 0, 2]","[0, 0, 1, 0, 0, 2]","[-1.535806729939603, 3.8007717974757, 2.383869532987398, -4.648834600523495]"
1,43,43,[],38,20,10211000,10211000,"['21', '23', '41', '24', '31', '43']","[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 1]","[-1.535806729939603, 3.8007717974757, 2.3572764078027237, -4.622241475338821]"
6,34,34,[],38,19,10213000,10224000,"['21', '23', '41', '24', '31', '34']","[0, 0, 6, 0]","[0, 0, 0, 6]","[0, 0, 0, 0, 0, 6]","[-1.535806729939603, 3.8007717974757, 2.3662875309078064, -4.631252598443903]"
1,32,32,[],38,21,10229000,10229000,"['21', '32', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]","[-1.535806729939603, 3.7607717974757, 2.4062875309078064, -4.631252598443903]"
22,23,23,[],38,19,10232000,10346000,"['21', '23', '41', '24', '31', '34']","[0, 17, 5, 0]","[9, 0, 6, 7]","[5, 6, 0, 6, 4, 1]","[-1.5859699355762344, 3.886642577138403, 2.3498595713229857, -4.650532212885155]"
2,32,32,[],38,21,10350000,10352000,"['21', '32', '41', '24', '31', '34']","[0, 0, 2, 0]","[0, 2, 0, 0]","[0, 2, 0, 0, 0, 0]","[-1.585969935576235, 3.8134718454310863, 2.423030303030303, -4.650532212885155]"
1,23,23,[],38,19,10357000,10357000,"['21', '23', '41', '24', '31', '34']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]","[-1.585969935576235, 3.8252365513134388, 2.41126559714795, -4.650532212885155]"
1,32,32,[],38,21,10359000,10359000,"['21', '32', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]","[-1.585969935576235, 3.7902160314775974, 2.4462861169837917, -4.650532212885154]"
16,23,23,[],38,19,10360000,10600000,"['21', '23', '41', '24', '31', '34']","[0, 15, 1, 0]","[5, 0, 2, 9]","[5, 2, 0, 8, 0, 1]","[-1.618181818181818, 3.8668575518969224, 2.424443106562312, -4.673118840277415]"
1,42,42,"[['23', '34', '42']]",40,7,10614000,10614000,"['21', '23', '41', '42', '31', '34']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]","[-1.618181818181818, 3.838068181818181, 2.4244431065623115, -4.6443294701986755]"
1,32,32,[],38,23,10615000,10615000,"['21', '32', '41', '42', '31', '34']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]","[-1.618181818181818, 3.8043603166496425, 2.4581509717308516, -4.6443294701986755]"
3,24,24,[],38,21,10617000,10821000,"['21', '32', '41', '24', '31', '34']","[0, 3, 0, 0]","[2, 0, 0, 1]","[2, 0, 0, 1, 0, 0]","[-1.6303934871099048, 3.8192367142599, 2.458150971730851, -4.646994198880846]"
2,23,23,[],38,19,10914000,11009000,"['21', '23', '41', '24', '31', '34']","[0, 1, 1, 0]","[0, 0, 1, 1]","[0, 1, 0, 0, 0, 1]","[-1.6303934871099055, 3.830722357206216, 2.448059542796384, -4.6483884128926976]"
5,43,43,[],38,20,11242000,11367000,"['21', '23', '41', '24', '31', '43']","[0, 0, 0, 5]","[2, 0, 3, 0]","[0, 0, 2, 0, 0, 3]","[-1.8033664600828778, 3.8307223572062172, 2.374714890843923, -4.402070787967262]"
1,34,34,[],38,19,11367000,11367000,"['21', '23', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[-1.803366460082878, 3.830722357206217, 2.376534576534577, -4.403890473657916]"
8,43,43,[],38,20,11370000,12079000,"['21', '23', '41', '24', '31', '43']","[0, 1, 6, 1]","[7, 0, 1, 0]","[1, 0, 0, 0, 6, 1]","[-1.8301158301158298, 3.836692506459948, 2.373632595288646, -4.380209271632765]"
7,34,34,[],38,19,12428000,12437000,"['21', '23', '41', '24', '31', '34']","[0, 0, 7, 0]","[0, 0, 0, 7]","[0, 0, 0, 0, 0, 7]","[-1.83011583011583, 3.8366925064599484, 2.386682152535811, -4.3932588288799295]"
2,43,43,[],38,20,12437000,12444000,"['21', '23', '41', '24', '31', '43']","[0, 0, 1, 1]","[1, 0, 1, 0]","[0, 0, 0, 0, 1, 1]","[-1.8333503314635393, 3.8366925064599484, 2.3674480655612733, -4.3707902405576835]"
1,34,34,[],38,19,12446000,12446000,"['21', '23', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[-1.833350331463539, 3.8366925064599484, 2.3693465686645956, -4.372688743661005]"
3,43,43,[],38,20,12523000,12525000,"['21', '23', '41', '24', '31', '43']","[0, 0, 0, 3]","[0, 0, 3, 0]","[0, 0, 0, 0, 0, 3]","[-1.833350331463539, 3.836692506459949, 2.3039013558607175, -4.307243530857127]"
1,34,34,[],38,19,12526000,12526000,"['21', '23', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[-1.8333503314635393, 3.8366925064599484, 2.306128992477494, -4.3094711674739035]"
7,43,43,[],38,20,12529000,12660000,"['21', '23', '41', '24', '31', '43']","[0, 0, 1, 6]","[2, 0, 5, 0]","[0, 0, 1, 0, 1, 5]","[-1.9161829808165272, 3.836692506459948, 2.2057736240913814, -4.126283149734802]"
1,34,34,[],38,19,12661000,12661000,"['21', '23', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[-1.9161829808165276, 3.836692506459948, 2.208500896818654, -4.129010422462075]"
12,43,43,[],38,20,12695000,12848000,"['21', '23', '41', '24', '31', '43']","[0, 6, 4, 2]","[8, 0, 2, 2]","[4, 0, 0, 2, 4, 2]","[-1.9513288373568571, 3.8649214979161712, 2.1810439653136275, -4.094636625872941]"
3,34,34,[],38,19,12849000,12853000,"['21', '23', '41', '24', '31', '34']","[0, 2, 1, 0]","[0, 0, 0, 3]","[0, 0, 0, 2, 0, 1]","[-1.9513288373568571, 3.869972292842418, 2.18393141745097, -4.102574872936531]"
37,43,43,[],38,20,12859000,14557000,"['21', '23', '41', '24', '31', '43']","[0, 20, 1, 16]","[9, 0, 21, 7]","[7, 6, 1, 7, 1, 15]","[-2.067050529379296, 3.9876549249836923, 1.853399607265587, -3.774004002869982]"
1,34,34,[],38,19,14585000,14585000,"['21', '23', '41', '24', '31', '34']","[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[-2.067050529379296, 3.9876549249836932, 1.8574175824175825, -3.778021978021978]"
4,43,43,[],38,20,14679000,14695000,"['21', '23', '41', '24', '31', '43']","[0, 2, 0, 2]","[2, 0, 2, 0]","[2, 0, 0, 0, 0, 2]","[-2.0770468270468267, 3.9976512226512213, 1.824722020788011, -3.745326416392406]"
